"is_in_union","division_numeric_code","population_count","age_range","mid_year"
"Y",4,2030527,"15-49","1970"
"Y",8,300141,"15-49","1970"
"Y",12,1995757,"15-49","1970"
"Y",16,3477,"15-49","1970"
"Y",24,980282,"15-49","1970"
"Y",28,5211,"15-49","1970"
"Y",31,755409,"15-49","1970"
"Y",32,3620060,"15-49","1970"
"Y",36,1788561,"15-49","1970"
"Y",40,1163242,"15-49","1970"
"Y",44,21559,"15-49","1970"
"Y",48,29411,"15-49","1970"
"Y",50,11799494,"15-49","1970"
"Y",51,402206,"15-49","1970"
"Y",52,26645,"15-49","1970"
"Y",56,1626849,"15-49","1970"
"Y",60,7766,"15-49","1970"
"Y",64,46304,"15-49","1970"
"Y",68,633871,"15-49","1970"
"Y",70,580569,"15-49","1970"
"Y",72,64076,"15-49","1970"
"Y",76,12497358,"15-49","1970"
"Y",84,16780,"15-49","1970"
"Y",90,23820,"15-49","1970"
"Y",92,1070,"15-49","1970"
"Y",96,18301,"15-49","1970"
"Y",100,1626667,"15-49","1970"
"Y",104,3975520,"15-49","1970"
"Y",108,498976,"15-49","1970"
"Y",112,1627507,"15-49","1970"
"Y",116,1010504,"15-49","1970"
"Y",120,1097088,"15-49","1970"
"Y",124,3604888,"15-49","1970"
"Y",132,25759,"15-49","1970"
"Y",136,1148,"15-49","1970"
"Y",140,312421,"15-49","1970"
"Y",144,1712265,"15-49","1970"
"Y",148,650581,"15-49","1970"
"Y",152,1308549,"15-49","1970"
"Y",156,119774672,"15-49","1970"
"Y",158,2034068,"15-49","1970"
"Y",170,2531944,"15-49","1970"
"Y",174,34282,"15-49","1970"
"Y",175,3521,"15-49","1970"
"Y",178,173462,"15-49","1970"
"Y",180,3304386,"15-49","1970"
"Y",184,2416,"15-49","1970"
"Y",188,233656,"15-49","1970"
"Y",191,750979,"15-49","1970"
"Y",192,1357679,"15-49","1970"
"Y",196,89081,"15-49","1970"
"Y",203,1749162,"15-49","1970"
"Y",204,555008,"15-49","1970"
"Y",208,796104,"15-49","1970"
"Y",212,6556,"15-49","1970"
"Y",214,586073,"15-49","1970"
"Y",218,785984,"15-49","1970"
"Y",222,476426,"15-49","1970"
"Y",226,44140,"15-49","1970"
"Y",231,5049892,"15-49","1970"
"Y",232,207178,"15-49","1970"
"Y",233,231695,"15-49","1970"
"Y",234,5100,"15-49","1970"
"Y",238,355,"15-49","1970"
"Y",242,77005,"15-49","1970"
"Y",246,710743,"15-49","1970"
"Y",250,8050862,"15-49","1970"
"Y",254,5707,"15-49","1970"
"Y",258,10913,"15-49","1970"
"Y",262,17232,"15-49","1970"
"Y",266,121945,"15-49","1970"
"Y",268,798418,"15-49","1970"
"Y",270,89686,"15-49","1970"
"Y",275,157229,"15-49","1970"
"Y",276,10932629,"15-49","1970"
"Y",288,1298975,"15-49","1970"
"Y",292,4776,"15-49","1970"
"Y",296,7188,"15-49","1970"
"Y",300,1388953,"15-49","1970"
"Y",304,5734,"15-49","1970"
"Y",308,7354,"15-49","1970"
"Y",312,36083,"15-49","1970"
"Y",316,11317,"15-49","1970"
"Y",320,818853,"15-49","1970"
"Y",324,796718,"15-49","1970"
"Y",328,79708,"15-49","1970"
"Y",332,579248,"15-49","1970"
"Y",340,348780,"15-49","1970"
"Y",344,524956,"15-49","1970"
"Y",348,1935488,"15-49","1970"
"Y",352,28297,"15-49","1970"
"Y",356,104289076,"15-49","1970"
"Y",360,18507373,"15-49","1970"
"Y",364,4642516,"15-49","1970"
"Y",368,1411978,"15-49","1970"
"Y",372,320947,"15-49","1970"
"Y",376,428311,"15-49","1970"
"Y",380,8466825,"15-49","1970"
"Y",384,831491,"15-49","1970"
"Y",388,213900,"15-49","1970"
"Y",392,18602832,"15-49","1970"
"Y",398,2066444,"15-49","1970"
"Y",400,263646,"15-49","1970"
"Y",404,1454722,"15-49","1970"
"Y",408,2540227,"15-49","1970"
"Y",410,4634596,"15-49","1970"
"Y",414,107537,"15-49","1970"
"Y",417,443863,"15-49","1970"
"Y",418,415616,"15-49","1970"
"Y",422,302261,"15-49","1970"
"Y",426,179150,"15-49","1970"
"Y",428,405679,"15-49","1970"
"Y",430,239230,"15-49","1970"
"Y",434,276945,"15-49","1970"
"Y",438,2932,"15-49","1970"
"Y",440,536197,"15-49","1970"
"Y",442,56333,"15-49","1970"
"Y",446,27080,"15-49","1970"
"Y",450,929915,"15-49","1970"
"Y",454,806545,"15-49","1970"
"Y",458,1517414,"15-49","1970"
"Y",462,19318,"15-49","1970"
"Y",466,1086437,"15-49","1970"
"Y",470,42664,"15-49","1970"
"Y",474,30490,"15-49","1970"
"Y",478,164681,"15-49","1970"
"Y",480,113446,"15-49","1970"
"Y",484,6871233,"15-49","1970"
"Y",496,160231,"15-49","1970"
"Y",498,634169,"15-49","1970"
"Y",499,86446,"15-49","1970"
"Y",500,867,"15-49","1970"
"Y",504,2514024,"15-49","1970"
"Y",508,1583065,"15-49","1970"
"Y",512,113543,"15-49","1970"
"Y",516,106587,"15-49","1970"
"Y",520,957,"15-49","1970"
"Y",524,2431463,"15-49","1970"
"Y",528,2108674,"15-49","1970"
"Y",531,14007,"15-49","1970"
"Y",533,7315,"15-49","1970"
"Y",540,8440,"15-49","1970"
"Y",548,11617,"15-49","1970"
"Y",554,349115,"15-49","1970"
"Y",558,306703,"15-49","1970"
"Y",562,920181,"15-49","1970"
"Y",566,9987180,"15-49","1970"
"Y",578,578926,"15-49","1970"
"Y",583,6730,"15-49","1970"
"Y",584,2312,"15-49","1970"
"Y",585,1295,"15-49","1970"
"Y",586,9315843,"15-49","1970"
"Y",591,200176,"15-49","1970"
"Y",598,436527,"15-49","1970"
"Y",600,279212,"15-49","1970"
"Y",604,1788137,"15-49","1970"
"Y",608,4612719,"15-49","1970"
"Y",616,5409804,"15-49","1970"
"Y",620,1479301,"15-49","1970"
"Y",624,123550,"15-49","1970"
"Y",626,98560,"15-49","1970"
"Y",630,340028,"15-49","1970"
"Y",634,11081,"15-49","1970"
"Y",638,57834,"15-49","1970"
"Y",642,3910228,"15-49","1970"
"Y",643,23495274,"15-49","1970"
"Y",646,562822,"15-49","1970"
"Y",659,3611,"15-49","1970"
"Y",660,448,"15-49","1970"
"Y",662,11974,"15-49","1970"
"Y",670,9923,"15-49","1970"
"Y",678,8209,"15-49","1970"
"Y",682,809858,"15-49","1970"
"Y",686,703041,"15-49","1970"
"Y",688,1487326,"15-49","1970"
"Y",690,5173,"15-49","1970"
"Y",694,527105,"15-49","1970"
"Y",702,271221,"15-49","1970"
"Y",703,767921,"15-49","1970"
"Y",704,5512765,"15-49","1970"
"Y",705,254401,"15-49","1970"
"Y",706,535994,"15-49","1970"
"Y",710,2519913,"15-49","1970"
"Y",716,728311,"15-49","1970"
"Y",724,5055933,"15-49","1970"
"Y",728,609764,"15-49","1970"
"Y",729,1655489,"15-49","1970"
"Y",732,13682,"15-49","1970"
"Y",740,44748,"15-49","1970"
"Y",748,45017,"15-49","1970"
"Y",752,1185117,"15-49","1970"
"Y",756,976034,"15-49","1970"
"Y",760,904438,"15-49","1970"
"Y",762,427314,"15-49","1970"
"Y",764,5357022,"15-49","1970"
"Y",768,374977,"15-49","1970"
"Y",772,178,"15-49","1970"
"Y",776,9844,"15-49","1970"
"Y",780,110126,"15-49","1970"
"Y",784,34479,"15-49","1970"
"Y",788,698976,"15-49","1970"
"Y",792,5871734,"15-49","1970"
"Y",795,305572,"15-49","1970"
"Y",796,538,"15-49","1970"
"Y",798,644,"15-49","1970"
"Y",800,1400182,"15-49","1970"
"Y",804,8975463,"15-49","1970"
"Y",807,287765,"15-49","1970"
"Y",818,4911346,"15-49","1970"
"Y",826,9042959,"15-49","1970"
"Y",830,17406,"15-49","1970"
"Y",834,2093851,"15-49","1970"
"Y",840,32709132,"15-49","1970"
"Y",850,6125,"15-49","1970"
"Y",854,1088916,"15-49","1970"
"Y",858,428961,"15-49","1970"
"Y",860,1691576,"15-49","1970"
"Y",862,1402820,"15-49","1970"
"Y",876,936,"15-49","1970"
"Y",882,16904,"15-49","1970"
"Y",887,1013644,"15-49","1970"
"Y",894,657502,"15-49","1970"
"N",4,477332,"15-49","1970"
"N",8,161865,"15-49","1970"
"N",12,1047200,"15-49","1970"
"N",16,2501,"15-49","1970"
"N",24,312664,"15-49","1970"
"N",28,8930,"15-49","1970"
"N",31,395045,"15-49","1970"
"N",32,2365557,"15-49","1970"
"N",36,1255614,"15-49","1970"
"N",40,572019,"15-49","1970"
"N",44,17997,"15-49","1970"
"N",48,12331,"15-49","1970"
"N",50,1956238,"15-49","1970"
"N",51,205765,"15-49","1970"
"N",52,26298,"15-49","1970"
"N",56,617390,"15-49","1970"
"N",60,5397,"15-49","1970"
"N",64,23663,"15-49","1970"
"N",68,408504,"15-49","1970"
"N",70,416900,"15-49","1970"
"N",72,75859,"15-49","1970"
"N",76,9689811,"15-49","1970"
"N",84,8462,"15-49","1970"
"N",90,11820,"15-49","1970"
"N",92,956,"15-49","1970"
"N",96,9979,"15-49","1970"
"N",100,584197,"15-49","1970"
"N",104,2257302,"15-49","1970"
"N",108,293393,"15-49","1970"
"N",112,719356,"15-49","1970"
"N",116,555941,"15-49","1970"
"N",120,405408,"15-49","1970"
"N",124,1584980,"15-49","1970"
"N",132,29841,"15-49","1970"
"N",136,914,"15-49","1970"
"N",140,106833,"15-49","1970"
"N",144,1170927,"15-49","1970"
"N",148,184768,"15-49","1970"
"N",152,1107566,"15-49","1970"
"N",156,62166965,"15-49","1970"
"N",158,1397479,"15-49","1970"
"N",170,2270186,"15-49","1970"
"N",174,16268,"15-49","1970"
"N",175,3348,"15-49","1970"
"N",178,128648,"15-49","1970"
"N",180,1473956,"15-49","1970"
"N",184,1541,"15-49","1970"
"N",188,177791,"15-49","1970"
"N",191,428006,"15-49","1970"
"N",192,648275,"15-49","1970"
"N",196,56259,"15-49","1970"
"N",203,723291,"15-49","1970"
"N",204,122414,"15-49","1970"
"N",208,355717,"15-49","1970"
"N",212,9218,"15-49","1970"
"N",214,385432,"15-49","1970"
"N",218,536494,"15-49","1970"
"N",222,344288,"15-49","1970"
"N",226,26293,"15-49","1970"
"N",231,1507651,"15-49","1970"
"N",232,99010,"15-49","1970"
"N",233,126701,"15-49","1970"
"N",234,3126,"15-49","1970"
"N",238,193,"15-49","1970"
"N",242,44705,"15-49","1970"
"N",246,450253,"15-49","1970"
"N",250,3899924,"15-49","1970"
"N",254,4779,"15-49","1970"
"N",258,13050,"15-49","1970"
"N",262,19336,"15-49","1970"
"N",266,23449,"15-49","1970"
"N",268,418245,"15-49","1970"
"N",270,19871,"15-49","1970"
"N",275,77025,"15-49","1970"
"N",276,7376045,"15-49","1970"
"N",288,600771,"15-49","1970"
"N",292,2171,"15-49","1970"
"N",296,4502,"15-49","1970"
"N",300,705744,"15-49","1970"
"N",304,4077,"15-49","1970"
"N",308,11387,"15-49","1970"
"N",312,35755,"15-49","1970"
"N",316,6923,"15-49","1970"
"N",320,428083,"15-49","1970"
"N",324,188627,"15-49","1970"
"N",328,68986,"15-49","1970"
"N",332,521060,"15-49","1970"
"N",340,233111,"15-49","1970"
"N",344,342458,"15-49","1970"
"N",348,765213,"15-49","1970"
"N",352,18120,"15-49","1970"
"N",356,21993757,"15-49","1970"
"N",360,7813814,"15-49","1970"
"N",364,1615005,"15-49","1970"
"N",368,640982,"15-49","1970"
"N",372,299837,"15-49","1970"
"N",376,240057,"15-49","1970"
"N",380,4686834,"15-49","1970"
"N",384,237959,"15-49","1970"
"N",388,162274,"15-49","1970"
"N",392,11133323,"15-49","1970"
"N",398,1088859,"15-49","1970"
"N",400,101212,"15-49","1970"
"N",404,850315,"15-49","1970"
"N",408,1149414,"15-49","1970"
"N",410,2823222,"15-49","1970"
"N",414,35080,"15-49","1970"
"N",417,220220,"15-49","1970"
"N",418,219021,"15-49","1970"
"N",422,207379,"15-49","1970"
"N",426,79284,"15-49","1970"
"N",428,227263,"15-49","1970"
"N",430,83449,"15-49","1970"
"N",434,164174,"15-49","1970"
"N",438,2449,"15-49","1970"
"N",440,282231,"15-49","1970"
"N",442,24488,"15-49","1970"
"N",446,30300,"15-49","1970"
"N",450,480078,"15-49","1970"
"N",454,279560,"15-49","1970"
"N",458,894942,"15-49","1970"
"N",462,5934,"15-49","1970"
"N",466,281569,"15-49","1970"
"N",470,41102,"15-49","1970"
"N",474,43192,"15-49","1970"
"N",478,94490,"15-49","1970"
"N",480,79546,"15-49","1970"
"N",484,4206223,"15-49","1970"
"N",496,102924,"15-49","1970"
"N",498,328877,"15-49","1970"
"N",499,45782,"15-49","1970"
"N",500,1820,"15-49","1970"
"N",504,991965,"15-49","1970"
"N",508,512495,"15-49","1970"
"N",512,49547,"15-49","1970"
"N",516,78274,"15-49","1970"
"N",520,619,"15-49","1970"
"N",524,459440,"15-49","1970"
"N",528,974945,"15-49","1970"
"N",531,19564,"15-49","1970"
"N",533,7704,"15-49","1970"
"N",540,15302,"15-49","1970"
"N",548,6649,"15-49","1970"
"N",554,290565,"15-49","1970"
"N",558,211696,"15-49","1970"
"N",562,136446,"15-49","1970"
"N",566,3017218,"15-49","1970"
"N",578,277999,"15-49","1970"
"N",583,6191,"15-49","1970"
"N",584,1682,"15-49","1970"
"N",585,1295,"15-49","1970"
"N",586,3072564,"15-49","1970"
"N",591,134255,"15-49","1970"
"N",598,189350,"15-49","1970"
"N",600,258032,"15-49","1970"
"N",604,1198882,"15-49","1970"
"N",608,3147447,"15-49","1970"
"N",616,3060955,"15-49","1970"
"N",620,648812,"15-49","1970"
"N",624,41622,"15-49","1970"
"N",626,39724,"15-49","1970"
"N",630,299867,"15-49","1970"
"N",634,6284,"15-49","1970"
"N",638,46156,"15-49","1970"
"N",642,1448709,"15-49","1970"
"N",643,11671787,"15-49","1970"
"N",646,262959,"15-49","1970"
"N",659,4201,"15-49","1970"
"N",660,848,"15-49","1970"
"N",662,8990,"15-49","1970"
"N",670,8243,"15-49","1970"
"N",678,6670,"15-49","1970"
"N",682,449122,"15-49","1970"
"N",686,250451,"15-49","1970"
"N",688,726432,"15-49","1970"
"N",690,5378,"15-49","1970"
"N",694,121037,"15-49","1970"
"N",702,222174,"15-49","1970"
"N",703,372456,"15-49","1970"
"N",704,3546434,"15-49","1970"
"N",705,182811,"15-49","1970"
"N",706,253468,"15-49","1970"
"N",710,2550564,"15-49","1970"
"N",716,371094,"15-49","1970"
"N",724,3153277,"15-49","1970"
"N",728,207344,"15-49","1970"
"N",729,604088,"15-49","1970"
"N",732,3240,"15-49","1970"
"N",740,32082,"15-49","1970"
"N",748,54176,"15-49","1970"
"N",752,663417,"15-49","1970"
"N",756,546438,"15-49","1970"
"N",760,406644,"15-49","1970"
"N",762,187172,"15-49","1970"
"N",764,2974530,"15-49","1970"
"N",768,103566,"15-49","1970"
"N",772,168,"15-49","1970"
"N",776,7912,"15-49","1970"
"N",780,107215,"15-49","1970"
"N",784,7081,"15-49","1970"
"N",788,403931,"15-49","1970"
"N",792,2142799,"15-49","1970"
"N",795,160404,"15-49","1970"
"N",796,599,"15-49","1970"
"N",798,784,"15-49","1970"
"N",800,678616,"15-49","1970"
"N",804,3820256,"15-49","1970"
"N",807,154428,"15-49","1970"
"N",818,2684631,"15-49","1970"
"N",826,3422842,"15-49","1970"
"N",830,10404,"15-49","1970"
"N",834,994385,"15-49","1970"
"N",840,16581776,"15-49","1970"
"N",850,10525,"15-49","1970"
"N",854,210166,"15-49","1970"
"N",858,260105,"15-49","1970"
"N",860,833789,"15-49","1970"
"N",862,1126456,"15-49","1970"
"N",876,1065,"15-49","1970"
"N",882,11872,"15-49","1970"
"N",887,393391,"15-49","1970"
"N",894,249236,"15-49","1970"
"Y",4,2076346,"15-49","1971"
"Y",8,309031,"15-49","1971"
"Y",12,2048805,"15-49","1971"
"Y",16,3596,"15-49","1971"
"Y",24,989565,"15-49","1971"
"Y",28,5306,"15-49","1971"
"Y",31,767431,"15-49","1971"
"Y",32,3657171,"15-49","1971"
"Y",36,1823934,"15-49","1971"
"Y",40,1166203,"15-49","1971"
"Y",44,22152,"15-49","1971"
"Y",48,30529,"15-49","1971"
"Y",50,11992824,"15-49","1971"
"Y",51,416358,"15-49","1971"
"Y",52,27285,"15-49","1971"
"Y",56,1631733,"15-49","1971"
"Y",60,7890,"15-49","1971"
"Y",64,47380,"15-49","1971"
"Y",68,647614,"15-49","1971"
"Y",70,591912,"15-49","1971"
"Y",72,65638,"15-49","1971"
"Y",76,12891237,"15-49","1971"
"Y",84,16833,"15-49","1971"
"Y",90,24465,"15-49","1971"
"Y",92,1082,"15-49","1971"
"Y",96,19315,"15-49","1971"
"Y",100,1634146,"15-49","1971"
"Y",104,4058467,"15-49","1971"
"Y",108,502501,"15-49","1971"
"Y",112,1643533,"15-49","1971"
"Y",116,1034308,"15-49","1971"
"Y",120,1118142,"15-49","1971"
"Y",124,3700278,"15-49","1971"
"Y",132,25851,"15-49","1971"
"Y",136,1229,"15-49","1971"
"Y",140,314652,"15-49","1971"
"Y",144,1760582,"15-49","1971"
"Y",148,663248,"15-49","1971"
"Y",152,1327479,"15-49","1971"
"Y",156,122846540,"15-49","1971"
"Y",158,2102262,"15-49","1971"
"Y",170,2610547,"15-49","1971"
"Y",174,34755,"15-49","1971"
"Y",175,3674,"15-49","1971"
"Y",178,177549,"15-49","1971"
"Y",180,3376143,"15-49","1971"
"Y",184,2442,"15-49","1971"
"Y",188,242315,"15-49","1971"
"Y",191,754588,"15-49","1971"
"Y",192,1381183,"15-49","1971"
"Y",196,91328,"15-49","1971"
"Y",203,1768333,"15-49","1971"
"Y",204,563820,"15-49","1971"
"Y",208,798733,"15-49","1971"
"Y",212,6481,"15-49","1971"
"Y",214,603186,"15-49","1971"
"Y",218,811216,"15-49","1971"
"Y",222,490186,"15-49","1971"
"Y",226,43128,"15-49","1971"
"Y",231,5174467,"15-49","1971"
"Y",232,211928,"15-49","1971"
"Y",233,233279,"15-49","1971"
"Y",234,5129,"15-49","1971"
"Y",238,352,"15-49","1971"
"Y",242,79479,"15-49","1971"
"Y",246,717511,"15-49","1971"
"Y",250,8110486,"15-49","1971"
"Y",254,5989,"15-49","1971"
"Y",258,11251,"15-49","1971"
"Y",262,18204,"15-49","1971"
"Y",266,121787,"15-49","1971"
"Y",268,807112,"15-49","1971"
"Y",270,91843,"15-49","1971"
"Y",275,159563,"15-49","1971"
"Y",276,10961524,"15-49","1971"
"Y",288,1325063,"15-49","1971"
"Y",292,4781,"15-49","1971"
"Y",296,7316,"15-49","1971"
"Y",300,1392443,"15-49","1971"
"Y",304,5836,"15-49","1971"
"Y",308,7405,"15-49","1971"
"Y",312,36317,"15-49","1971"
"Y",316,11805,"15-49","1971"
"Y",320,840322,"15-49","1971"
"Y",324,808201,"15-49","1971"
"Y",328,81659,"15-49","1971"
"Y",332,588739,"15-49","1971"
"Y",340,358634,"15-49","1971"
"Y",344,530832,"15-49","1971"
"Y",348,1941892,"15-49","1971"
"Y",352,28848,"15-49","1971"
"Y",356,106776162,"15-49","1971"
"Y",360,18930773,"15-49","1971"
"Y",364,4762304,"15-49","1971"
"Y",368,1450111,"15-49","1971"
"Y",372,326480,"15-49","1971"
"Y",376,443473,"15-49","1971"
"Y",380,8507781,"15-49","1971"
"Y",384,864444,"15-49","1971"
"Y",388,213893,"15-49","1971"
"Y",392,18829121,"15-49","1971"
"Y",398,2109362,"15-49","1971"
"Y",400,272888,"15-49","1971"
"Y",404,1506252,"15-49","1971"
"Y",408,2559725,"15-49","1971"
"Y",410,4698336,"15-49","1971"
"Y",414,116268,"15-49","1971"
"Y",417,453862,"15-49","1971"
"Y",418,425737,"15-49","1971"
"Y",422,308976,"15-49","1971"
"Y",426,183366,"15-49","1971"
"Y",428,407397,"15-49","1971"
"Y",430,244195,"15-49","1971"
"Y",434,284111,"15-49","1971"
"Y",438,2999,"15-49","1971"
"Y",440,540956,"15-49","1971"
"Y",442,56435,"15-49","1971"
"Y",446,27569,"15-49","1971"
"Y",450,955420,"15-49","1971"
"Y",454,820375,"15-49","1971"
"Y",458,1567139,"15-49","1971"
"Y",462,19640,"15-49","1971"
"Y",466,1097644,"15-49","1971"
"Y",470,43511,"15-49","1971"
"Y",474,30451,"15-49","1971"
"Y",478,168864,"15-49","1971"
"Y",480,117658,"15-49","1971"
"Y",484,7055601,"15-49","1971"
"Y",496,163349,"15-49","1971"
"Y",498,644661,"15-49","1971"
"Y",499,87901,"15-49","1971"
"Y",500,873,"15-49","1971"
"Y",504,2556133,"15-49","1971"
"Y",508,1613409,"15-49","1971"
"Y",512,116826,"15-49","1971"
"Y",516,108209,"15-49","1971"
"Y",520,981,"15-49","1971"
"Y",524,2473509,"15-49","1971"
"Y",528,2131141,"15-49","1971"
"Y",531,14247,"15-49","1971"
"Y",533,7543,"15-49","1971"
"Y",540,8803,"15-49","1971"
"Y",548,11924,"15-49","1971"
"Y",554,357209,"15-49","1971"
"Y",558,315257,"15-49","1971"
"Y",562,939207,"15-49","1971"
"Y",566,10176220,"15-49","1971"
"Y",578,577491,"15-49","1971"
"Y",583,6678,"15-49","1971"
"Y",584,2416,"15-49","1971"
"Y",585,1326,"15-49","1971"
"Y",586,9529584,"15-49","1971"
"Y",591,205887,"15-49","1971"
"Y",598,446744,"15-49","1971"
"Y",600,287416,"15-49","1971"
"Y",604,1840413,"15-49","1971"
"Y",608,4769178,"15-49","1971"
"Y",616,5480828,"15-49","1971"
"Y",620,1490282,"15-49","1971"
"Y",624,125438,"15-49","1971"
"Y",626,100847,"15-49","1971"
"Y",630,347737,"15-49","1971"
"Y",634,11746,"15-49","1971"
"Y",638,59006,"15-49","1971"
"Y",642,3930763,"15-49","1971"
"Y",643,23706010,"15-49","1971"
"Y",646,576183,"15-49","1971"
"Y",659,3635,"15-49","1971"
"Y",660,447,"15-49","1971"
"Y",662,12096,"15-49","1971"
"Y",670,10099,"15-49","1971"
"Y",678,8447,"15-49","1971"
"Y",682,842787,"15-49","1971"
"Y",686,720331,"15-49","1971"
"Y",688,1504712,"15-49","1971"
"Y",690,5257,"15-49","1971"
"Y",694,533322,"15-49","1971"
"Y",702,279478,"15-49","1971"
"Y",703,778524,"15-49","1971"
"Y",704,5631304,"15-49","1971"
"Y",705,256512,"15-49","1971"
"Y",706,539872,"15-49","1971"
"Y",710,2583465,"15-49","1971"
"Y",716,752022,"15-49","1971"
"Y",724,5068886,"15-49","1971"
"Y",728,619720,"15-49","1971"
"Y",729,1704276,"15-49","1971"
"Y",732,13146,"15-49","1971"
"Y",740,44808,"15-49","1971"
"Y",748,46380,"15-49","1971"
"Y",752,1185240,"15-49","1971"
"Y",756,982687,"15-49","1971"
"Y",760,928190,"15-49","1971"
"Y",762,440786,"15-49","1971"
"Y",764,5504217,"15-49","1971"
"Y",768,383346,"15-49","1971"
"Y",772,174,"15-49","1971"
"Y",776,9999,"15-49","1971"
"Y",780,112794,"15-49","1971"
"Y",784,38799,"15-49","1971"
"Y",788,716103,"15-49","1971"
"Y",792,6010659,"15-49","1971"
"Y",795,313996,"15-49","1971"
"Y",796,552,"15-49","1971"
"Y",798,649,"15-49","1971"
"Y",800,1435380,"15-49","1971"
"Y",804,9046947,"15-49","1971"
"Y",807,293145,"15-49","1971"
"Y",818,5017986,"15-49","1971"
"Y",826,9054009,"15-49","1971"
"Y",830,17626,"15-49","1971"
"Y",834,2152732,"15-49","1971"
"Y",840,33003179,"15-49","1971"
"Y",850,6479,"15-49","1971"
"Y",854,1102151,"15-49","1971"
"Y",858,428388,"15-49","1971"
"Y",860,1741655,"15-49","1971"
"Y",862,1450106,"15-49","1971"
"Y",876,922,"15-49","1971"
"Y",882,17237,"15-49","1971"
"Y",887,1021126,"15-49","1971"
"Y",894,673981,"15-49","1971"
"N",4,487307,"15-49","1971"
"N",8,169047,"15-49","1971"
"N",12,1086908,"15-49","1971"
"N",16,2603,"15-49","1971"
"N",24,328625,"15-49","1971"
"N",28,9124,"15-49","1971"
"N",31,421449,"15-49","1971"
"N",32,2413180,"15-49","1971"
"N",36,1285354,"15-49","1971"
"N",40,577007,"15-49","1971"
"N",44,19119,"15-49","1971"
"N",48,13243,"15-49","1971"
"N",50,1982299,"15-49","1971"
"N",51,221789,"15-49","1971"
"N",52,27107,"15-49","1971"
"N",56,630434,"15-49","1971"
"N",60,5510,"15-49","1971"
"N",64,24130,"15-49","1971"
"N",68,416642,"15-49","1971"
"N",70,426181,"15-49","1971"
"N",72,78637,"15-49","1971"
"N",76,10003213,"15-49","1971"
"N",84,8786,"15-49","1971"
"N",90,12109,"15-49","1971"
"N",92,985,"15-49","1971"
"N",96,10768,"15-49","1971"
"N",100,584075,"15-49","1971"
"N",104,2335167,"15-49","1971"
"N",108,298770,"15-49","1971"
"N",112,743159,"15-49","1971"
"N",116,574053,"15-49","1971"
"N",120,413829,"15-49","1971"
"N",124,1636834,"15-49","1971"
"N",132,30811,"15-49","1971"
"N",136,975,"15-49","1971"
"N",140,108229,"15-49","1971"
"N",144,1206562,"15-49","1971"
"N",148,189066,"15-49","1971"
"N",152,1144846,"15-49","1971"
"N",156,63817287,"15-49","1971"
"N",158,1467986,"15-49","1971"
"N",170,2350712,"15-49","1971"
"N",174,16713,"15-49","1971"
"N",175,3500,"15-49","1971"
"N",178,132130,"15-49","1971"
"N",180,1505307,"15-49","1971"
"N",184,1593,"15-49","1971"
"N",188,185288,"15-49","1971"
"N",191,429838,"15-49","1971"
"N",192,660334,"15-49","1971"
"N",196,57985,"15-49","1971"
"N",203,717200,"15-49","1971"
"N",204,124398,"15-49","1971"
"N",208,357936,"15-49","1971"
"N",212,9216,"15-49","1971"
"N",214,403402,"15-49","1971"
"N",218,556226,"15-49","1971"
"N",222,354711,"15-49","1971"
"N",226,25869,"15-49","1971"
"N",231,1543193,"15-49","1971"
"N",232,101310,"15-49","1971"
"N",233,128710,"15-49","1971"
"N",234,3173,"15-49","1971"
"N",238,184,"15-49","1971"
"N",242,46323,"15-49","1971"
"N",246,452913,"15-49","1971"
"N",250,3978485,"15-49","1971"
"N",254,5002,"15-49","1971"
"N",258,13694,"15-49","1971"
"N",262,20283,"15-49","1971"
"N",266,24666,"15-49","1971"
"N",268,430340,"15-49","1971"
"N",270,20336,"15-49","1971"
"N",275,78121,"15-49","1971"
"N",276,7438141,"15-49","1971"
"N",288,614340,"15-49","1971"
"N",292,2217,"15-49","1971"
"N",296,4637,"15-49","1971"
"N",300,711925,"15-49","1971"
"N",304,4336,"15-49","1971"
"N",308,11940,"15-49","1971"
"N",312,35823,"15-49","1971"
"N",316,7255,"15-49","1971"
"N",320,441384,"15-49","1971"
"N",324,192762,"15-49","1971"
"N",328,71149,"15-49","1971"
"N",332,533044,"15-49","1971"
"N",340,241021,"15-49","1971"
"N",344,365259,"15-49","1971"
"N",348,766692,"15-49","1971"
"N",352,18588,"15-49","1971"
"N",356,22595674,"15-49","1971"
"N",360,8088679,"15-49","1971"
"N",364,1680861,"15-49","1971"
"N",368,661606,"15-49","1971"
"N",372,305281,"15-49","1971"
"N",376,247822,"15-49","1971"
"N",380,4703217,"15-49","1971"
"N",384,250036,"15-49","1971"
"N",388,168722,"15-49","1971"
"N",392,11167538,"15-49","1971"
"N",398,1143497,"15-49","1971"
"N",400,107388,"15-49","1971"
"N",404,887486,"15-49","1971"
"N",408,1175930,"15-49","1971"
"N",410,2986649,"15-49","1971"
"N",414,40258,"15-49","1971"
"N",417,232454,"15-49","1971"
"N",418,224304,"15-49","1971"
"N",422,219374,"15-49","1971"
"N",426,80942,"15-49","1971"
"N",428,230992,"15-49","1971"
"N",430,85740,"15-49","1971"
"N",434,170655,"15-49","1971"
"N",438,2483,"15-49","1971"
"N",440,288663,"15-49","1971"
"N",442,25476,"15-49","1971"
"N",446,32424,"15-49","1971"
"N",450,496451,"15-49","1971"
